Firm,exchange,industry,year,asset_turnover,roa,roe,current_ratio,interest_cover,debt_to_equity_perc,debt-to_asset_perc,emission_trading,esg_combined,Environmental,Social,Governance,debt_to_asset_perc,Scope_1_and_2,co2_emission,size,ln_revenue,ln_debt,ln_equity,z_score,ln_co2_revenue,emission
BBN.AX,AX,Wholesale Trade,2022,1.55975845,8.70225628,25.6364501,1.2604,5.05067,147.46908,48.24436,FALSE,58.07395173,26.40311008,69.4082196,61.31574158,48.24436,6217,6217,19.675353,20.04456185,18.94646197,18.55801365,3.88156336,-11.3095191,0.0122557
BBN.AX,AX,Wholesale Trade,2023,1.50968459,4.3861051,13.68215401,1.20112,2.74419,162.65681,51.05209,FALSE,56.47752706,31.94796062,66.15411921,57.99054122,51.05209,5890,5890,19.655827,20.07753836,18.98350281,18.49703049,1.82842986,-11.39652708,0.01123443
BBN.AX,AX,Wholesale Trade,2024,1.47431492,0.84071274,2.72538095,1.22204,1.42469,174.32521,52.80264,FALSE,56.61461985,34.90371082,67.77690283,55.06753772,52.80264,,5289,19.621263,20.02688744,18.98265375,18.42690136,1.73414573,-11.45350297,0.01061224
VEA.AX,AX,Wholesale Trade,2017,2.15693322,9.94917366,20.37020316,1.10971,16.80237,12.97208,6.03142,FALSE,20.14997333,33.97123667,19.43859955,1.14740369,6.03142,1328985,1328990,22.293235,23.00378935,19.48504659,21.52741758,0,-8.90385954,0.13586354
VEA.AX,AX,Wholesale Trade,2018,2.46037448,6.17511891,12.27387862,1.18183,10.97538,5.72847,3.08569,FALSE,39.48154366,33.23759741,37.43799288,52.2836637,3.08569,1392568,1392570,22.364067,23.22959145,18.88567183,21.74539297,0.88973707,-9.08292994,0.11358831
VEA.AX,AX,Wholesale Trade,2019,1.8223756,2.41576508,5.74959113,1.07418,1.57692,99.59617,34.17611,FALSE,49.69659936,43.09643642,53.58478981,52.44289873,34.17611,1430993,1430990,22.794927,23.20266569,21.72128401,21.72533051,0.18294752,-9.02878862,0.11990766
VEA.AX,AX,Wholesale Trade,2020,1.1125,-2.59894091,-7.80171512,0.99166,0.55259,130.64994,41.90209,FALSE,52.3646279,43.72349764,54.09870142,61.94585448,41.90209,1282597,1282600,22.581749,22.8006177,21.71191444,21.44456306,-0.37412759,-8.73621787,0.16066038
VEA.AX,AX,Wholesale Trade,2021,1.5936136,5.00477304,16.47397457,1.05018,1.79623,126.54008,36.56364,FALSE,56.13692882,42.10814082,68.0621128,55.44590643,36.56364,1202054,1201730,22.712359,23.11518877,21.70624278,21.47085385,0.22250904,-9.11591602,0.1099026
VEA.AX,AX,Wholesale Trade,2022,2.46688327,9.18625451,32.72296376,1.03745,4.07602,104.05371,28.48578,FALSE,60.17865875,54.44295034,66.39754581,57.5006825,28.48578,1378488,1378490,22.877768,23.82476704,21.62200341,21.58226638,0.80757463,-9.68826779,0.06200672
VSL.AX,AX,Wholesale Trade,2022,1.41187938,26.32147728,83.67273785,2.55872,15.09472,223.05886,51.9563,FALSE,22.15340541,8.25018552,32.82882171,24.58553275,51.9563,9164,9164,20.494331,20.69555234,19.83956329,19.03729779,0,-11.5725143,0.00942152
